city,fax
Turkey,903123196
Turkey,903124460843
Turkey,903122236714
Turkey,00904623775526
Turkey,9003122150143
Turkey,902562146495
Turkey,903123044150
Turkey,903123053028
Turkey,903423606413
Turkey,903122851644
Turkey,904223410728
Turkey,902626540599
Turkey,902124841829
Turkey,903223271274
Turkey,903123196077
Turkey,902422274320
Turkey,903123620581
Turkey,902323904244
Turkey,903524379348
Turkey,902323903518
Turkey,902422488732
Turkey,902222291411
Turkey,902324124846
Turkey,903123113187
Turkey,902163266240
Turkey,902125324208
Turkey,902124142008
Turkey,903223387444
Turkey,00903122203145
Turkey,00902423109290
Turkey,903623114057
Turkey,902423143156
Turkey,902423143353
Turkey,902123153640
